Date,Treatment,Cashcrop,Rep,Ccspecies,CO2,N2O,Tsoil,SoilM,Tmax,Tmin,Tair,PPTwk,Irr,Cinput
7/26/2019,Fallow,corn,1,NO,218.0,-17.7,24.2,26.4,34.4,18.3,26.4,0.2,3.6,0.0
7/26/2019,Fallow,corn,2,NO,397.7,5.2,22.8,20.5,34.4,18.3,26.4,0.2,3.6,0.0
7/26/2019,Fallow,corn,3,NO,299.1,25.1,23.7,14.9,34.4,18.3,26.4,0.2,3.6,0.0
7/26/2019,Fallow,corn,4,NO,367.0,-16.2,23.9,17.9,34.4,18.3,26.4,0.2,3.6,0.0
8/1/2019,Fallow,corn,1,NO,362.1,26.8,26.2,18.6,34.4,17.2,25.8,5.2,0.2,0.0
8/1/2019,Fallow,corn,2,NO,399.2,10.2,24.9,19.8,34.4,17.2,25.8,5.2,0.2,0.0
8/1/2019,Fallow,corn,3,NO,259.1,14.6,25.1,11.7,34.4,17.2,25.8,5.2,0.2,0.0
8/1/2019,Fallow,corn,4,NO,284.5,20.4,25.4,18.9,34.4,17.2,25.8,5.2,0.2,0.0
8/7/2019,Fallow,corn,1,NO,104.0,-29.2,22.0,16.3,36.1,19.4,27.8,0.5,3.6,0.0
8/7/2019,Fallow,corn,2,NO,397.4,31.5,21.0,19.5,36.1,19.4,27.8,0.5,3.6,0.0
8/7/2019,Fallow,corn,3,NO,271.7,-2.9,22.0,16.5,36.1,19.4,27.8,0.5,3.6,0.0
8/7/2019,Fallow,corn,4,NO,381.1,-7.3,23.0,25.7,36.1,19.4,27.8,0.5,3.6,0.0
8/29/2019,Fallow,corn,1,NO,379.2,-34.2,26.9,18.7,31.7,17.8,24.7,1.8,0.0,0.0
8/29/2019,Fallow,corn,2,NO,378.7,19.7,26.2,17.7,31.7,17.8,24.7,1.8,0.0,0.0
8/29/2019,Fallow,corn,3,NO,171.6,22.5,27.2,6.6,31.7,17.8,24.7,1.8,0.0,0.0
8/29/2019,Fallow,corn,4,NO,307.3,46.8,28.0,11.2,31.7,17.8,24.7,1.8,0.0,0.0
9/5/2019,Fallow,corn,1,NO,268.8,68.0,23.7,15.4,32.8,13.9,23.3,0.2,3.6,0.0
9/5/2019,Fallow,corn,2,NO,286.8,85.8,22.8,12.3,32.8,13.9,23.3,0.2,3.6,0.0
9/5/2019,Fallow,corn,3,NO,157.0,78.7,23.3,12.3,32.8,13.9,23.3,0.2,3.6,0.0
9/5/2019,Fallow,corn,4,NO,270.1,11.0,23.9,9.9,32.8,13.9,23.3,0.2,3.6,0.0
11/1/2019,Fallow,corn,1,NO,2.6,-108.7,15.5,29.8,12.8,-11.1,0.8,0.0,0.0,0.0
11/1/2019,Fallow,corn,2,NO,2.9,-43.8,15.0,25.8,12.8,-11.1,0.8,0.0,0.0,0.0
11/1/2019,Fallow,corn,3,NO,7.9,-72.0,17.5,17.6,12.8,-11.1,0.8,0.0,0.0,0.0
11/1/2019,Fallow,corn,4,NO,3.5,-42.0,18.0,18.0,12.8,-11.1,0.8,0.0,0.0,0.0
12/6/2019,Fallow,corn,1,NO,2.3,49.1,12.6,28.0,17.2,-6.1,5.6,0.0,0.0,0.0
12/6/2019,Fallow,corn,2,NO,2.6,16.1,9.8,28.7,17.2,-6.1,5.6,0.0,0.0,0.0
12/6/2019,Fallow,corn,3,NO,2.0,60.8,9.5,22.4,17.2,-6.1,5.6,0.0,0.0,0.0
12/6/2019,Fallow,corn,4,NO,1.3,6.1,9.3,23.8,17.2,-6.1,5.6,0.0,0.0,0.0
1/8/2020,Fallow,corn,1,NO,0.6,33.9,14.7,24.6,15.0,-5.6,4.7,0.0,0.0,0.0
1/8/2020,Fallow,corn,2,NO,1.9,23.3,12.8,23.7,15.0,-5.6,4.7,0.0,0.0,0.0
1/8/2020,Fallow,corn,3,NO,3.5,3.7,12.8,22.5,15.0,-5.6,4.7,0.0,0.0,0.0
1/8/2020,Fallow,corn,4,NO,1.0,105.2,12.4,23.0,15.0,-5.6,4.7,0.0,0.0,0.0
2/17/2020,Fallow,corn,1,NO,2.5,-22.1,23.5,33.3,19.4,3.3,11.4,0.8,0.0,0.0
2/17/2020,Fallow,corn,2,NO,1.9,77.5,22.8,30.4,19.4,3.3,11.4,0.8,0.0,0.0
2/17/2020,Fallow,corn,3,NO,4.1,2.2,20.5,25.7,19.4,3.3,11.4,0.8,0.0,0.0
2/17/2020,Fallow,corn,4,NO,2.2,36.7,20.7,27.1,19.4,3.3,11.4,0.8,0.0,0.0
3/7/2020,Fallow,corn,1,NO,4.8,-31.5,19.5,17.9,16.7,-0.6,8.1,0.0,0.0,0.0
3/7/2020,Fallow,corn,2,NO,4.8,64.8,18.8,16.2,16.7,-0.6,8.1,0.0,0.0,0.0
3/7/2020,Fallow,corn,3,NO,18.0,-18.4,19.9,14.4,16.7,-0.6,8.1,0.0,0.0,0.0
3/7/2020,Fallow,corn,4,NO,7.3,65.2,21.1,17.0,16.7,-0.6,8.1,0.0,0.0,0.0
3/23/2020,Fallow,corn,1,NO,6.9,-11.5,13.7,30.1,18.9,5.0,11.9,1.5,0.0,0.0
3/23/2020,Fallow,corn,2,NO,6.6,-40.7,12.4,25.5,18.9,5.0,11.9,1.5,0.0,0.0
3/23/2020,Fallow,corn,3,NO,12.5,-16.2,11.2,28.3,18.9,5.0,11.9,1.5,0.0,0.0
3/23/2020,Fallow,corn,4,NO,11.5,29.2,11.7,27.5,18.9,5.0,11.9,1.5,0.0,0.0
4/2/2020,Fallow,corn,1,NO,4.7,-67.1,10.6,10.0,26.1,7.2,16.7,0.0,0.0,0.0
4/2/2020,Fallow,corn,2,NO,3.3,-79.5,10.6,10.4,26.1,7.2,16.7,0.0,0.0,0.0
4/2/2020,Fallow,corn,3,NO,40.8,-71.0,10.6,18.8,26.1,7.2,16.7,0.0,0.0,0.0
4/2/2020,Fallow,corn,4,NO,16.0,-25.7,10.6,21.5,26.1,7.2,16.7,0.0,0.0,0.0
4/7/2020,Fallow,corn,1,NO,8.7,-31.9,15.0,8.4,25.0,5.6,15.3,0.0,0.0,0.0
4/7/2020,Fallow,corn,2,NO,4.7,24.9,15.0,8.7,25.0,5.6,15.3,0.0,0.0,0.0
4/7/2020,Fallow,corn,3,NO,20.6,-14.8,15.0,18.1,25.0,5.6,15.3,0.0,0.0,0.0
4/7/2020,Fallow,corn,4,NO,6.3,-55.2,15.0,18.3,25.0,5.6,15.3,0.0,0.0,0.0
4/17/2020,Fallow,corn,1,NO,4.2,-25.9,7.4,9.6,23.9,-3.9,10.0,1.1,0.0,0.0
4/17/2020,Fallow,corn,2,NO,5.2,41.3,7.4,11.8,23.9,-3.9,10.0,1.1,0.0,0.0
4/17/2020,Fallow,corn,3,NO,16.0,1.6,7.2,19.5,23.9,-3.9,10.0,1.1,0.0,0.0
4/17/2020,Fallow,corn,4,NO,10.4,24.3,7.2,22.9,23.9,-3.9,10.0,1.1,0.0,0.0
4/22/2020,Fallow,corn,1,NO,70.7,-77.8,14.2,10.0,25.0,7.8,16.4,0.0,0.0,0.0
4/22/2020,Fallow,corn,2,NO,4.3,47.5,14.2,10.3,25.0,7.8,16.4,0.0,0.0,0.0
4/22/2020,Fallow,corn,3,NO,25.7,-4.7,14.2,19.1,25.0,7.8,16.4,0.0,0.0,0.0
4/22/2020,Fallow,corn,4,NO,43.0,-48.2,14.2,22.0,25.0,7.8,16.4,0.0,0.0,0.0
4/30/2020,Fallow,corn,1,NO,64.9,30.3,16.8,6.0,23.3,7.2,15.3,0.0,0.0,0.0
4/30/2020,Fallow,corn,2,NO,5.5,-10.6,16.8,9.8,23.3,7.2,15.3,0.0,0.0,0.0
4/30/2020,Fallow,corn,3,NO,27.9,-28.8,17.0,15.5,23.3,7.2,15.3,0.0,0.0,0.0
4/30/2020,Fallow,corn,4,NO,38.0,44.7,17.0,16.4,23.3,7.2,15.3,0.0,0.0,0.0
5/7/2020,Fallow,corn,1,NO,104.5,24.6,19.3,4.4,26.7,10.6,18.6,0.0,0.0,0.0
5/7/2020,Fallow,corn,2,NO,7.6,-4.6,19.3,7.9,26.7,10.6,18.6,0.0,0.0,0.0
5/7/2020,Fallow,corn,3,NO,33.0,-10.0,19.5,11.9,26.7,10.6,18.6,0.0,0.0,0.0
5/7/2020,Fallow,corn,4,NO,63.6,33.8,19.5,12.0,26.7,10.6,18.6,0.0,0.0,0.0
5/14/2020,Fallow,corn,1,NO,72.3,-3.8,18.3,4.5,30.0,6.7,18.3,0.1,0.0,0.0
5/14/2020,Fallow,corn,2,NO,22.7,25.0,18.3,7.3,30.0,6.7,18.3,0.1,0.0,0.0
5/14/2020,Fallow,corn,3,NO,36.0,10.6,18.7,9.9,30.0,6.7,18.3,0.1,0.0,0.0
5/14/2020,Fallow,corn,4,NO,42.1,42.3,18.7,10.1,30.0,6.7,18.3,0.1,0.0,0.0
5/25/2020,Fallow,corn,1,NO,2.0,-17.2,22.3,17.9,30.6,10.0,20.3,0.0,5.0,0.0
5/25/2020,Fallow,corn,2,NO,2.7,-36.7,22.3,19.8,30.6,10.0,20.3,0.0,5.0,0.0
5/25/2020,Fallow,corn,3,NO,1.7,-45.2,22.6,21.5,30.6,10.0,20.3,0.0,5.0,0.0
5/25/2020,Fallow,corn,4,NO,2.3,-46.0,22.6,21.7,30.6,10.0,20.3,0.0,5.0,0.0
6/1/2020,Fallow,corn,1,NO,1.3,-22.7,12.0,17.7,30.6,11.7,21.1,0.0,2.5,0.0
6/1/2020,Fallow,corn,2,NO,2.3,-68.2,11.0,19.9,30.6,11.7,21.1,0.0,2.5,0.0
6/1/2020,Fallow,corn,3,NO,1.9,-29.6,16.0,23.6,30.6,11.7,21.1,0.0,2.5,0.0
6/1/2020,Fallow,corn,4,NO,1.0,-39.4,17.0,22.5,30.6,11.7,21.1,0.0,2.5,0.0
6/4/2020,Fallow,corn,1,NO,1.6,-3.7,9.0,13.5,33.3,16.7,25.0,0.0,0.0,0.0
6/4/2020,Fallow,corn,2,NO,1.9,23.0,10.0,19.2,33.3,16.7,25.0,0.0,0.0,0.0
6/4/2020,Fallow,corn,3,NO,1.9,3.0,11.0,22.0,33.3,16.7,25.0,0.0,0.0,0.0
6/4/2020,Fallow,corn,4,NO,1.3,25.2,10.0,21.4,33.3,16.7,25.0,0.0,0.0,0.0
6/10/2020,Fallow,corn,1,NO,1.0,23.7,30.0,14.0,25.6,12.8,19.2,0.0,2.5,0.0
6/10/2020,Fallow,corn,2,NO,1.6,35.9,30.0,15.1,25.6,12.8,19.2,0.0,2.5,0.0
6/10/2020,Fallow,corn,3,NO,1.0,65.0,31.0,17.4,25.6,12.8,19.2,0.0,2.5,0.0
6/10/2020,Fallow,corn,4,NO,1.6,62.7,31.0,18.3,25.6,12.8,19.2,0.0,2.5,0.0
6/18/2020,Fallow,corn,1,NO,7.4,19.6,24.0,13.0,36.7,16.7,26.7,0.0,2.5,0.0
6/18/2020,Fallow,corn,2,NO,11.0,21.1,25.0,19.5,36.7,16.7,26.7,0.0,2.5,0.0
6/18/2020,Fallow,corn,3,NO,7.1,22.6,26.0,19.8,36.7,16.7,26.7,0.0,2.5,0.0
6/18/2020,Fallow,corn,4,NO,5.2,20.3,25.0,20.6,36.7,16.7,26.7,0.0,2.5,0.0
6/25/2020,Fallow,corn,1,NO,8.9,-35.2,26.9,27.6,31.1,17.2,24.2,2.8,0.0,0.0
6/25/2020,Fallow,corn,2,NO,3.7,-55.4,27.8,28.5,31.1,17.2,24.2,2.8,0.0,0.0
6/25/2020,Fallow,corn,3,NO,167.9,-20.6,28.3,22.7,31.1,17.2,24.2,2.8,0.0,0.0
6/25/2020,Fallow,corn,4,NO,4.6,-10.7,29.5,25.5,31.1,17.2,24.2,2.8,0.0,0.0
7/2/2020,Fallow,corn,1,NO,13.4,92.2,26.7,28.5,35.0,20.0,27.5,0.4,0.0,0.0
7/2/2020,Fallow,corn,2,NO,126.0,79.0,26.2,25.8,35.0,20.0,27.5,0.4,0.0,0.0
7/2/2020,Fallow,corn,3,NO,440.4,74.9,29.2,21.3,35.0,20.0,27.5,0.4,0.0,0.0
7/2/2020,Fallow,corn,4,NO,2.7,65.8,30.1,20.1,35.0,20.0,27.5,0.4,0.0,0.0
7/9/2020,Fallow,corn,1,NO,89.0,68.0,32.4,27.8,36.7,20.6,28.6,4.4,3.6,0.0
7/9/2020,Fallow,corn,2,NO,446.8,67.8,31.4,22.6,36.7,20.6,28.6,4.4,3.6,0.0
7/9/2020,Fallow,corn,3,NO,350.1,26.9,31.4,19.7,36.7,20.6,28.6,4.4,3.6,0.0
7/9/2020,Fallow,corn,4,NO,17.7,21.7,32.7,19.9,36.7,20.6,28.6,4.4,3.6,0.0
7/17/2020,Fallow,corn,1,NO,69.7,17.0,30.7,25.3,35.0,16.7,25.8,0.4,3.8,0.0
7/17/2020,Fallow,corn,2,NO,84.2,22.9,29.2,25.3,35.0,16.7,25.8,0.4,3.8,0.0
7/17/2020,Fallow,corn,3,NO,591.1,11.4,30.1,15.6,35.0,16.7,25.8,0.4,3.8,0.0
7/17/2020,Fallow,corn,4,NO,62.6,6.4,30.1,20.2,35.0,16.7,25.8,0.4,3.8,0.0
7/24/2020,Fallow,corn,1,NO,111.0,32.9,27.2,41.5,30.0,19.4,24.7,7.1,3.8,0.0
7/24/2020,Fallow,corn,2,NO,156.3,50.5,26.2,43.1,30.0,19.4,24.7,7.1,3.8,0.0
7/24/2020,Fallow,corn,3,NO,238.1,18.8,26.2,40.9,30.0,19.4,24.7,7.1,3.8,0.0
7/24/2020,Fallow,corn,4,NO,55.8,11.5,26.4,41.3,30.0,19.4,24.7,7.1,3.8,0.0
7/30/2020,Fallow,corn,1,NO,748.1,-8.7,26.9,25.8,33.3,20.0,26.7,1.1,4.3,0.0
7/30/2020,Fallow,corn,2,NO,342.3,-17.5,26.2,17.5,33.3,20.0,26.7,1.1,4.3,0.0
7/30/2020,Fallow,corn,3,NO,376.8,-19.6,28.0,14.1,33.3,20.0,26.7,1.1,4.3,0.0
7/30/2020,Fallow,corn,4,NO,530.7,-34.7,28.6,16.4,33.3,20.0,26.7,1.1,4.3,0.0
8/6/2020,Fallow,corn,1,NO,565.6,-34.0,28.9,12.8,32.8,18.9,25.8,0.5,8.6,0.0
8/6/2020,Fallow,corn,2,NO,393.4,-39.1,28.3,11.6,32.8,18.9,25.8,0.5,8.6,0.0
8/6/2020,Fallow,corn,3,NO,548.7,-38.3,28.9,10.3,32.8,18.9,25.8,0.5,8.6,0.0
8/6/2020,Fallow,corn,4,NO,580.2,-15.8,29.5,13.6,32.8,18.9,25.8,0.5,8.6,0.0
8/20/2020,Fallow,corn,1,NO,51.6,10.8,23.0,45.1,36.1,16.1,26.1,0.0,4.3,0.0
8/20/2020,Fallow,corn,2,NO,16.7,0.0,23.5,46.1,36.1,16.1,26.1,0.0,4.3,0.0
8/20/2020,Fallow,corn,3,NO,67.6,48.5,24.4,46.2,36.1,16.1,26.1,0.0,4.3,0.0
8/20/2020,Fallow,corn,4,NO,13.6,34.0,25.1,43.4,36.1,16.1,26.1,0.0,4.3,0.0
8/27/2020,Fallow,corn,1,NO,15.5,20.2,24.9,34.4,33.3,15.6,24.4,0.6,3.8,0.0
8/27/2020,Fallow,corn,2,NO,31.0,52.9,24.7,32.2,33.3,15.6,24.4,0.6,3.8,0.0
8/27/2020,Fallow,corn,3,NO,66.1,15.1,26.2,30.6,33.3,15.6,24.4,0.6,3.8,0.0
8/27/2020,Fallow,corn,4,NO,18.8,25.1,26.9,31.5,33.3,15.6,24.4,0.6,3.8,0.0
9/3/2020,Fallow,corn,1,NO,10.2,19.6,22.4,42.0,30.6,13.3,21.9,0.1,3.8,0.0
9/3/2020,Fallow,corn,2,NO,7.5,45.1,22.8,43.0,30.6,13.3,21.9,0.1,3.8,0.0
9/3/2020,Fallow,corn,3,NO,83.3,32.4,24.4,38.1,30.6,13.3,21.9,0.1,3.8,0.0
9/3/2020,Fallow,corn,4,NO,4.3,36.0,24.9,43.1,30.6,13.3,21.9,0.1,3.8,0.0
11/20/2018,GB,corn,1,Grass_Brassica,3.0,-47.5,7.5,24.1,11.7,-5.6,3.1,0.0,0.0,2.0
11/20/2018,GB,corn,2,Grass_Brassica,5.2,-81.6,8.2,20.3,11.7,-5.6,3.1,0.0,0.0,2.3
11/20/2018,GB,corn,3,Grass_Brassica,24.4,-41.8,9.2,12.2,11.7,-5.6,3.1,0.0,0.0,2.2
11/20/2018,GB,corn,4,Grass_Brassica,22.7,-98.4,10.8,22.5,11.7,-5.6,3.1,0.0,0.0,2.0
12/5/2018,GB,corn,1,Grass_Brassica,12.4,-66.8,10.8,17.9,7.2,-6.1,0.6,0.0,0.0,2.0
12/5/2018,GB,corn,2,Grass_Brassica,4.3,-9.9,12.3,9.6,7.2,-6.1,0.6,0.0,0.0,2.3
12/5/2018,GB,corn,3,Grass_Brassica,13.9,-87.0,12.6,10.2,7.2,-6.1,0.6,0.0,0.0,2.2
12/5/2018,GB,corn,4,Grass_Brassica,12.3,-54.5,13.3,7.6,7.2,-6.1,0.6,0.0,0.0,2.0
1/9/2019,GB,corn,1,Grass_Brassica,1.7,-67.3,6.1,23.9,8.9,-5.6,1.7,0.0,0.0,2.0
1/9/2019,GB,corn,2,Grass_Brassica,10.9,-34.7,6.7,7.0,8.9,-5.6,1.7,0.0,0.0,2.3
1/9/2019,GB,corn,3,Grass_Brassica,4.6,-58.5,7.5,13.2,8.9,-5.6,1.7,0.0,0.0,2.2
1/9/2019,GB,corn,4,Grass_Brassica,10.5,-70.2,8.9,19.0,8.9,-5.6,1.7,0.0,0.0,2.0
2/26/2019,GB,corn,1,Grass_Brassica,9.4,-46.0,14.7,12.1,19.4,-2.2,8.6,0.5,0.0,2.0
2/26/2019,GB,corn,2,Grass_Brassica,44.3,-55.8,19.5,7.9,19.4,-2.2,8.6,0.5,0.0,2.3
2/26/2019,GB,corn,3,Grass_Brassica,7.3,-97.7,19.5,5.3,19.4,-2.2,8.6,0.5,0.0,2.2
